,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
13978,autrement,40.16,(autre)>ment>,"(0, 1, 1)",3,1583.89,5,33.3333333333333,919,5042.80999999999,4,2.39390642002176,2
13980,auvergnat,0.01,(auvergne)>at>,"(0, 1, 1)",2,0.01,8,0,36,166.91,2,88.8888888888888,2
14008,avancement,3.3,(avancer)>ment>,"(0, 1, 1)",2,177.039999999999,7,50,919,5042.80999999999,4,19.5865070729053,2
14022,avantageuse,1.31,(avantage)>eux>,"(0, 1, 1)",3,26.69,8,33.3333333333333,271,1027.7,3,35.4243542435424,2
14028,aventurait,0.96,(aventure)>[VB]>,"(0, 1, 1)",5,35.5,8,40,1600,25208.9699999999,2,52.5625,2
14034,aventureuse,0.799999999999999,(aventure)>eux>,"(0, 1, 1)",5,35.5,8,60,271,1027.7,3,44.280442804428,2
14036,aventurier,2.57,(aventure)>ier>,"(0, 1, 1)",5,35.5,8,20,181,847.1,3,27.6243093922651,2
14050,avertissement,9.6,(avertir)>ment>,"(0, 1, 1)",4,40.3,7,25,919,5042.80999999999,4,8.70511425462459,2
14052,avertisseur,0.18,(avertir)>eur>,"(0, 1, 1)",4,40.3,7,75,501,2127.06,3,74.4510978043912,2
14055,aveuglait,3.76,(aveugle)>[VB]>,"(0, 1, 1)",5,62.76,7,20,1600,25208.9699999999,2,31.75,2
14056,aveuglant,0.96,(aveugle)>ant/ent>,"(0, 1, 1)",5,62.76,7,80,522,3302.43999999999,7,48.0842911877394,2
14061,aveuglement,1.77,(aveugle)>ment>,"(0, 1, 1)",5,62.76,7,40,919,5042.80999999999,4,28.8356909684439,2
14062,aveuglément,1.3,(aveugle)>ément>,"(0, 1, 1)",5,62.76,7,60,28,105.3,5,46.4285714285714,2
14066,aviateur,2.91,(avion)>eur>,"(0, 1, 1)",4,114.05,5,50,501,2127.06,3,25.9481037924151,2
14068,aviation,5.17,(avion)>ion>,"(0, 1, 1)",4,114.05,5,25,766,3498.54,3,20.6266318537859,2
14069,avidement,0.38,(avide)>ment>,"(0, 1, 1)",3,4.93999999999999,5,66.6666666666666,919,5042.80999999999,4,60.7181719260065,2
14070,avidité,1.05,(avide)>ité>,"(0, 1, 1)",3,4.93999999999999,5,33.3333333333333,334,1491.88,3,45.5089820359281,2
14075,avisa,7.39999999999999,(avis)>[VB]>,"(0, 1, 1)",4,149.02,4,25,1600,25208.9699999999,2,21.9375,2
14092,avortement,4.37,(avorter)>ment>,"(0, 1, 1)",3,10.53,7,33.3333333333333,919,5042.80999999999,4,16.1044613710554,2
14095,avorton,1.35,(avorter)>on>,"(0, 1, 1)",3,10.53,7,66.6666666666666,109,331.19,2,44.9541284403669,2
14113,azimuté,0.05,(azimut)>[VB]>,"(0, 1, 1)",2,0.57,6,50,1600,25208.9699999999,2,78.25,2
14114,babillages,0.26,(babiller)>age>,"(0, 1, 1)",2,0.29,8,0,201,707.48,3,66.6666666666666,2
14120,badinait,0.53,(badin)>[VB]>,"(0, 1, 1)",2,0.86,5,0,1600,25208.9699999999,2,60.4375,2
14125,baffer,0.49,(baffe)>[VB]>,"(0, 1, 1)",2,3.55,5,50,1600,25208.9699999999,2,61.625,2
14138,bagagiste,0.24,(bagage)>iste>,"(0, 1, 1)",2,29.93,6,50,119,322.749999999999,4,58.8235294117647,2
14140,bagarrer,1.75,(bagarre)>[VB]>,"(0, 1, 1)",3,23.11,7,33.3333333333333,1600,25208.9699999999,2,42.125,2
14142,bagarreur,0.95,(bagarre)>eur>,"(0, 1, 1)",3,23.11,7,66.6666666666666,501,2127.06,3,50.2994011976047,2
14144,bagnard,0.61,(bagne)>ard>,"(0, 1, 1)",2,3.1,5,50,52,113.07,3,50,2
14147,baguée,0,(bague)>[VB]>,"(0, 1, 1)",2,30.4,5,50,1600,25208.9699999999,2,91.125,2
14149,baignade,1,(bain)>ade>,"(0, 1, 1)",5,111.92,4,60,43,65.47,3,30.2325581395348,2
14150,baignaient,23.67,(bain)>[VB]>,"(0, 1, 1)",5,111.92,4,20,1600,25208.9699999999,2,11.5625,2
14159,baigneur,0.37,(bain)>eur>,"(0, 1, 1)",5,111.92,4,80,501,2127.06,3,65.4690618762475,2
14162,baignoire,12.4,(bain)>oire>,"(0, 1, 1)",5,111.92,4,40,47,114.259999999999,4,4.25531914893617,2
14168,bâillement,0.53,(bâiller)>ment>,"(0, 1, 1)",5,2.71,7,40,919,5042.80999999999,4,54.189336235038,2
14171,bailleur,0.28,(bailler)>eur>,"(0, 1, 1)",1,0.28,7,0,501,2127.06,3,68.2634730538922,2
14172,bâillon,0.63,(bâiller)>on>,"(0, 1, 1)",5,2.71,7,20,109,331.19,2,60.5504587155963,2
14190,baladait,14.57,(balade)>[VB]>,"(0, 1, 1)",2,28.74,6,0,1600,25208.9699999999,2,15.0625,2
14196,balafré,0.63,(balafre)>[VB]>,"(0, 1, 1)",2,1.22,7,0,1600,25208.9699999999,2,57.9999999999999,2
14198,balaie,10.1299999999999,(balai)>[VB]>,"(0, 1, 1)",5,23.4499999999999,5,20,1600,25208.9699999999,2,18.125,2
14201,balança,29.91,(balance)>[VB]>,"(0, 1, 1)",6,50.4,7,0,1600,25208.9699999999,2,9.25,2
14208,balancelles,0,(balance)>elle>,"(0, 1, 1)",6,50.4,7,83.3333333333333,13,16.5,4,92.3076923076923,2
14209,balancement,0.69,(balance)>ment>,"(0, 1, 1)",6,50.4,7,50,919,5042.80999999999,4,48.3133841131664,2
14215,balancier,0.26,(balance)>ier>,"(0, 1, 1)",6,50.4,7,66.6666666666666,181,847.1,3,71.2707182320441,2
14216,balançoire,2.14,(balance)>oire>,"(0, 1, 1)",6,50.4,7,33.3333333333333,47,114.259999999999,4,21.2765957446808,2
14219,balayage,1.56,(balai)>age>,"(0, 1, 1)",5,23.4499999999999,5,40,201,707.48,3,34.3283582089552,2
14230,balayettes,0,(balai)>ette>,"(0, 1, 1)",5,23.4499999999999,5,80,110,295.429999999999,4,95.4545454545454,2
14231,balayeur,0.59,(balai)>eur>,"(0, 1, 1)",5,23.4499999999999,5,60,501,2127.06,3,59.2814371257485,2
14239,balisé,0.06,(balise)>[VB]>,"(0, 1, 1)",2,3.18,6,50,1600,25208.9699999999,2,77.3125,2
14241,balistique,1.86,(balle)>ique>,"(0, 1, 1)",12,185.73,5,41.6666666666666,281,852.449999999999,4,31.6725978647686,2
14242,balkanique,0,(balkan)>ique>,"(0, 1, 1)",1,0,6,0,281,852.449999999999,4,94.306049822064,2
14245,ballotté,0.44,(baller)>ot[VB]>,"(0, 1, 1)",2,0.77,6,0,8,2.77,5,25,2
14246,balsamique,0.1,(balsam)>ique>,"(0, 1, 1)",1,0.1,6,0,281,852.449999999999,4,80.7829181494661,2
14247,banalement,0.16,(banal)>ment>,"(0, 1, 1)",4,10.05,5,75,919,5042.80999999999,4,72.7965179542981,2
14248,banalité,0.77,(banal)>ité>,"(0, 1, 1)",4,10.05,5,25,334,1491.88,3,54.7904191616766,2
14249,banalités,0.71,(banal)>ités>,"(0, 1, 1)",4,10.05,5,50,60,83.33,4,33.3333333333333,2
14250,bananiers,0.71,(banane)>ier>,"(0, 1, 1)",2,11.85,6,50,181,847.1,3,58.0110497237569,2
14251,bancaire,3.94,(banc)>aire>,"(0, 1, 1)",2,14.71,4,50,179,853.76,4,26.8156424581005,2
14253,bandage,4.75,(bande)>age>,"(0, 1, 1)",8,96.2699999999999,5,12.5,201,707.48,3,16.4179104477611,2
14256,bandeau,2.59999999999999,(bande)>eau>,"(0, 1, 1)",8,96.2699999999999,5,25,29,436.9,3,44.8275862068965,2
14258,bandelette,0.7,(bande)>ette>,"(0, 1, 1)",8,96.2699999999999,5,62.5,110,295.429999999999,4,48.1818181818181,2
14261,bandés,1.11,(bande)>[VB]>,"(0, 1, 1)",8,96.2699999999999,5,50,1600,25208.9699999999,2,49.75,2
14262,banlieusarde,0.01,(banlieue)>ard>,"(0, 1, 1)",2,7.93,8,50,52,113.07,3,90.3846153846153,2
14265,bannissement,0.59,(bannir)>ment>,"(0, 1, 1)",2,5.27,6,50,919,5042.80999999999,4,51.5778019586507,2
14266,banquette,3.02,(banque)>ette>,"(0, 1, 1)",3,88.4,6,66.6666666666666,110,295.429999999999,4,20,2
14268,banquier,6.03,(banque)>ier>,"(0, 1, 1)",3,88.4,6,33.3333333333333,181,847.1,3,14.3646408839779,2
14271,baptisa,9.12,(baptême)>is[VB]>,"(0, 1, 1)",3,13.53,7,0,126,424.71,5,5.55555555555555,2
14277,baraquement,1.35,(baraque)>ment>,"(0, 1, 1)",2,13.62,7,50,919,5042.80999999999,4,34.4940152339499,2
14279,baratine,1.17,(baratin)>[VB]>,"(0, 1, 1)",3,5.85,7,33.3333333333333,1600,25208.9699999999,2,48.75,2
14281,baratineur,0.78,(baratin)>eur>,"(0, 1, 1)",3,5.85,7,66.6666666666666,501,2127.06,3,54.2914171656686,2
14283,barbant,1.15,(barbe)>[VB]>,"(0, 1, 1)",5,32.48,5,60,1600,25208.9699999999,2,49,2
14284,barbarie,1.36,(barbare)>ie>,"(0, 1, 1)",2,8.96999999999999,7,50,59,435.78,2,54.2372881355932,2
14290,barbiche,0.18,(barbe)>iche>,"(0, 1, 1)",5,32.48,5,80,3,2.17999999999999,4,66.6666666666666,2
14291,barbier,3.57,(barbe)>ier>,"(0, 1, 1)",5,32.48,5,20,181,847.1,3,19.3370165745856,2
14294,barbouillages,0.3,(barbouiller)>age>,"(0, 1, 1)",3,2.46999999999999,11,66.6666666666666,201,707.48,3,65.1741293532338,2
14301,barbu,3.1,(barbe)>u>,"(0, 1, 1)",5,32.48,5,40,14,21.57,1,7.14285714285714,2
14307,barillet,0.67,(barril)>et>,"(0, 1, 1)",2,3.38,6,50,75,229.51,2,42.6666666666666,2
14312,barreaux,7.60999999999999,(barre)>eau>,"(0, 1, 1)",7,78.4799999999999,5,57.1428571428571,29,436.9,3,17.2413793103448,2
14313,barra,20.07,(barre)>[VB]>,"(0, 1, 1)",7,78.4799999999999,5,14.2857142857142,1600,25208.9699999999,2,12.625,2
14314,barrage,13.3999999999999,(barre)>age>,"(0, 1, 1)",7,78.4799999999999,5,28.5714285714285,201,707.48,3,4.4776119402985,2
14326,barrette,0.46,(barre)>ette>,"(0, 1, 1)",7,78.4799999999999,5,71.4285714285714,110,295.429999999999,4,60,2
14329,barricadaient,0.66,(barricade)>[VB]>,"(0, 1, 1)",2,3.82,9,50,1600,25208.9699999999,2,57.25,2
14334,barrière,9.13,(barre)>ère>,"(0, 1, 1)",7,78.4799999999999,5,42.8571428571428,49,86.54,3,2.04081632653061,2
14338,basa,11.84,(base)>[VB]>,"(0, 1, 1)",4,246.089999999999,4,25,1600,25208.9699999999,2,16.9375,2
14342,bascula,3.63,(bascule)>[VB]>,"(0, 1, 1)",2,5.84,7,0,1600,25208.9699999999,2,32.25,2
14356,basique,0.85,(base)>ique>,"(0, 1, 1)",4,246.089999999999,4,50,281,852.449999999999,4,50.5338078291815,2
14357,bassesse,1.71999999999999,(bas)>esse>,"(0, 1, 1)",4,16.34,3,25,39,279.86,4,56.4102564102564,2
14361,bassinant,0,(bassin)>[VB]>,"(0, 1, 1)",2,6.74999999999999,6,50,1600,25208.9699999999,2,91.125,2
14364,bassistes,0.02,(bas)>iste>,"(0, 1, 1)",4,16.34,3,50,119,322.749999999999,4,86.5546218487395,2
14365,bastonnée,0.1,(baston)>[VB]>,"(0, 1, 1)",2,1.53,6,50,1600,25208.9699999999,2,75.25,2
14366,batailla,0,(bataille)>[VB]>,"(0, 1, 1)",4,36.5999999999999,8,50,1600,25208.9699999999,2,91.125,2
14369,batailleuse,0,(bataille)>eur>,"(0, 1, 1)",4,36.5999999999999,8,50,501,2127.06,3,93.4131736526946,2
14371,bataillon,8.12999999999999,(bataille)>on>,"(0, 1, 1)",4,36.5999999999999,8,25,109,331.19,2,8.25688073394495,2
14373,bâtardise,0.01,(bâtard)>ise>,"(0, 1, 1)",2,16.36,6,50,13,75.3999999999999,3,84.6153846153846,2
14374,bateliers,0.11,(bâteau)>ier>,"(0, 1, 1)",2,124.929999999999,6,50,181,847.1,3,85.6353591160221,2
