,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,n_morphemes
34134,réintégrait,1.93,<re<(intègre)>[VB]>,"(1, 1, 1)",434,6595.02,2,42.1658986175115,9,19.7599999999999,7,33.3333333333333,1600,25208.9699999999,2,40.75,3
34222,relooker,0.07,<re<(look)>[VB]>,"(1, 1, 1)",434,6595.02,2,82.258064516129,1,0.07,4,0,1600,25208.9699999999,2,76.4375,3
34233,remaillés,0,<re<(maille)>[VB]>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,6,12.5299999999999,6,83.3333333333333,1600,25208.9699999999,2,91.125,3
34236,remarche,1.14,<re<(marche)>[VB]>,"(1, 1, 1)",434,6595.02,2,53.2258064516129,6,376.56,6,50,1600,25208.9699999999,2,49.25,3
34238,remarié,4.59,<re<(mari)>[VB]>,"(1, 1, 1)",434,6595.02,2,28.110599078341,5,718.58,4,60,1600,25208.9699999999,2,29.375,3
34241,remarqua,68.91,<re<(marque)>[VB]>,"(1, 1, 1)",434,6595.02,2,5.29953917050691,8,189.79,6,0,1600,25208.9699999999,2,4.4375,3
34277,remémorer,0.74,<re<(mémoire)>[VB]>,"(1, 1, 1)",434,6595.02,2,60.5990783410138,7,66.29,7,57.1428571428571,1600,25208.9699999999,2,55.8125,3
34278,remercia,111.36,<re<(merci)>[VB]>,"(1, 1, 1)",434,6595.02,2,3.68663594470046,3,1431.33,5,33.3333333333333,1600,25208.9699999999,2,2.75,3
34416,renommée,2.46,<re<(nom)>[VB]>,"(1, 1, 1)",434,6595.02,2,37.0967741935483,13,666,3,53.8461538461538,1600,25208.9699999999,2,37.1875,3
34429,renouvelait,4.88,<re<(nouveau)>[VB]>,"(1, 1, 1)",434,6595.02,2,26.7281105990783,12,677.34,7,16.6666666666666,1600,25208.9699999999,2,28,3
34531,repêché,2.18,<re<(pêche)>[VB]>,"(1, 1, 1)",434,6595.02,2,39.1705069124424,5,52.8899999999999,5,60,1600,25208.9699999999,2,39,3
34571,replaça,0.81,<re<(place)>[VB]>,"(1, 1, 1)",434,6595.02,2,59.2165898617511,7,110.24,5,85.7142857142857,1600,25208.9699999999,2,54.5625,3
34574,replanter,0.21,<re<(plante)>[VB]>,"(1, 1, 1)",434,6595.02,2,75.8064516129032,5,12.3,6,80,1600,25208.9699999999,2,69.3125,3
34575,replia,6.12999999999999,<re<(pli)>[VB]>,"(1, 1, 1)",434,6595.02,2,23.2718894009216,5,14.7999999999999,3,0,1600,25208.9699999999,2,25.3125,3
34667,reprogramment,0.73,<re<(programme)>[VB]>,"(1, 1, 1)",434,6595.02,2,61.0599078341013,4,57.44,9,75,1600,25208.9699999999,2,55.9374999999999,3
34725,résonna,4.35,<re<(son)>[VB]>,"(1, 1, 1)",434,6595.02,2,29.2626728110599,18,1894.35999999999,3,22.2222222222222,1600,25208.9699999999,2,29.875,3
34765,resplendissait,1.22,<re<(splend)>[VB]>,"(1, 1, 1)",434,6595.02,2,51.1520737327189,4,24.09,6,50,1600,25208.9699999999,2,48.0625,3
34797,ressemellent,0,<re<(semelle)>[VB]>,"(1, 1, 1)",434,6595.02,2,93.5483870967741,3,4.1,7,33.3333333333333,1600,25208.9699999999,2,91.125,3
34862,restructurer,0.45,<re<(structure)>[VB]>,"(1, 1, 1)",434,6595.02,2,67.5115207373271,7,10.1599999999999,9,28.5714285714285,1600,25208.9699999999,2,62.8125,3
34880,retaillées,0.03,<re<(taille)>[VB]>,"(1, 1, 1)",434,6595.02,2,86.1751152073732,7,69.99,6,85.7142857142857,1600,25208.9699999999,2,81.625,3
34882,retapé,2.75,<re<(tape)>[VB]>,"(1, 1, 1)",434,6595.02,2,34.7926267281106,6,68.58,4,33.3333333333333,1600,25208.9699999999,2,35.375,3
34885,retapissé,0.08,<re<(tapis)>[VB]>,"(1, 1, 1)",434,6595.02,2,81.1059907834101,5,23.02,5,80,1600,25208.9699999999,2,75.9375,3
34887,retardait,11.43,<re<(tard)>[VB]>,"(1, 1, 1)",434,6595.02,2,16.8202764976958,8,556.71,4,37.5,1600,25208.9699999999,2,17.1875,3
34946,retourna,245.64,<re<(tour)>[VB]>,"(1, 1, 1)",434,6595.02,2,1.38248847926267,31,1014.31,4,0,1600,25208.9699999999,2,1.0625,3
34971,retrace,1.19,<re<(trace)>[VB]>,"(1, 1, 1)",434,6595.02,2,51.6129032258064,4,78.09,5,50,1600,25208.9699999999,2,48.375,3
34973,rétracte,0.86,<re<(tract)>[VB]>,"(1, 1, 1)",434,6595.02,2,58.294930875576,5,10.15,5,60,1600,25208.9699999999,2,53.75,3
34976,retranchai,0.87,<re<(tranche)>[VB]>,"(1, 1, 1)",434,6595.02,2,58.0645161290322,6,29.52,7,50,1600,25208.9699999999,2,53.6875,3
34982,retravailler,1.99,<re<(travail)>[VB]>,"(1, 1, 1)",434,6595.02,2,41.2442396313364,5,884.47,7,60,1600,25208.9699999999,2,40.1875,3
34999,retroussait,0.97,<re<(trousse)>[VB]>,"(1, 1, 1)",434,6595.02,2,55.9907834101382,5,12.1499999999999,7,40,1600,25208.9699999999,2,52.1875,3
35035,réuni,38.79,<re<(un)>[VB]>,"(1, 1, 1)",434,6595.02,2,7.6036866359447,14,21122.25,2,21.4285714285714,1600,25208.9699999999,2,7.3125,3
35065,réutiliser,0.2,<re<(utile)>is[VB]>,"(1, 1, 1)",434,6595.02,2,76.036866359447,13,322.82,5,84.6153846153846,126,424.71,5,50,3
35077,réveilla,173.54,<re<(éveil)>[VB]>,"(1, 1, 1)",434,6595.02,2,1.61290322580645,5,216.709999999999,5,0,1600,25208.9699999999,2,1.75,3
35132,revisse,0.01,<re<(vis)>[VB]>,"(1, 1, 1)",434,6595.02,2,89.1705069124423,4,1.60999999999999,3,50,1600,25208.9699999999,2,86.3125,3
35521,saupoudra,0,<sau<(poudre)>[VB]>,"(1, 1, 1)",3,0.04,3,66.6666666666666,8,23.9499999999999,6,75,1600,25208.9699999999,2,91.125,3
