,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,n_morphemes
21856,emprise,3.08,<en<(priser),"(1, 1, 0)",218,2094.69,2,28.440366972477,4,96.4199999999999,6,50,2
21890,encastraient,0,<en<(castraient),"(1, 1, 0)",218,2094.69,2,90.3669724770642,1,0,10,0,2
21891,encastré,0.3,<en<(castrer),"(1, 1, 0)",218,2094.69,2,62.8440366972477,3,0.84,7,33.3333333333333,2
21893,encastrent,0.01,<en<(castrent),"(1, 1, 0)",218,2094.69,2,86.2385321100917,1,0.01,8,0,2
21924,enchère,6.67,<en<(cher),"(1, 1, 0)",218,2094.69,2,18.348623853211,3,274.41,4,33.3333333333333,2
21936,encoche,0.13,<en<(coche),"(1, 1, 0)",218,2094.69,2,72.4770642201834,4,4.95,5,50,2
21994,endormaient,57.94,<en<(dormir),"(1, 1, 0)",218,2094.69,2,3.6697247706422,7,462.52,6,14.2857142857142,2
22043,enferma,57.9499999999999,<en<(fermer),"(1, 1, 0)",218,2094.69,2,3.21100917431192,5,253.4,6,20,2
22067,enfin,265.83,<en<(fin),"(1, 1, 0)",218,2094.69,2,0.458715596330275,21,1200.89,3,4.76190476190476,2
22087,enfonça,1.41,<en<(fonçer),"(1, 1, 0)",218,2094.69,2,41.743119266055,2,2.28,6,0,2
22093,enfonce,15.6,<en<(foncer),"(1, 1, 0)",218,2094.69,2,11.4678899082568,5,49.76,6,20,2
22094,enfoncé,4.68,<en<(foncé),"(1, 1, 0)",218,2094.69,2,23.394495412844,4,22.33,5,50,2
22102,enfoui,5.24,<en<(fouir),"(1, 1, 0)",218,2094.69,2,22.0183486238532,1,5.24,5,0,2
22117,enfui,61.79,<en<(fuir/te),"(1, 1, 0)",218,2094.69,2,2.75229357798165,2,165.75,7,50,2
22124,enfumée,0.15,<en<(fumer),"(1, 1, 0)",218,2094.69,2,70.6422018348623,9,145.35,5,66.6666666666666,2
22164,engoncé,0.04,<en<(goncer),"(1, 1, 0)",218,2094.69,2,80.7339449541284,1,0.04,6,0,2
