,item,freq,canon_segm,prs,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
10732,vallonnements,0,(val)>on>>ment>,"(0, 1, 2)",4,16.0499999999999,3,50,109,331.19,2,92.6605504587155,919,5042.80999999999,4,93.4711643090315,3
10747,vampirisant,0.01,(vampire)>is[VB]>>ant/ent>,"(0, 1, 2)",2,27.28,7,50,126,424.71,5,75.3968253968253,522,3302.43999999999,7,90.9961685823754,3
10759,vaporisateur,0.28,(vapeur)>is[VB]>>eur>,"(0, 1, 2)",4,9.45999999999999,6,50,126,424.71,5,46.8253968253968,501,2127.06,3,68.2634730538922,3
10806,végétalienne,0.16,(végéter)>al>>ien>,"(0, 1, 2)",7,6.23,7,57.1428571428571,200,1125.04,2,78.5,66,291.01,3,68.1818181818181,3
10881,ventilateur,2.43,(vent)>il[VB]>>eur>,"(0, 1, 2)",8,87.3899999999999,4,37.5,3,5.48999999999999,5,33.3333333333333,501,2127.06,3,29.3413173652694,3
10882,ventilation,2.84,(vent)>il[VB]>>ion>,"(0, 1, 2)",8,87.3899999999999,4,25,3,5.48999999999999,5,0,766,3498.54,3,33.8120104438642,3
10883,ventilos,0.22,(vent)>il[VB]>>o>,"(0, 1, 2)",8,87.3899999999999,4,62.5,3,5.48999999999999,5,66.6666666666666,15,64.91,1,86.6666666666666,3
10896,véracité,0.58,(vérité)>ace>>ité>,"(0, 1, 2)",8,334.159999999999,6,87.5,15,28.65,3,60,334,1491.88,3,61.6766467065868,3
10913,vérification,3.4,(vérité)>ifier>>ion>,"(0, 1, 2)",8,334.159999999999,6,37.5,27,49.0699999999999,5,18.5185185185185,766,3498.54,3,29.5039164490861,3
10914,véritables,29.36,(vérité)>ité>>able>,"(0, 1, 2)",8,334.159999999999,6,25,334,1491.88,3,2.39520958083832,313,1042.69,4,1.59744408945686,3
