,item,freq,canon_segm,prs,PREF_1_FamSize,PREF_1_Freq,PREF_1_Length,PREF_1_PFMF,ROOT_1_FamSize,ROOT_1_Freq,ROOT_1_Length,ROOT_1_PFMF,SUFF_1_FamSize,SUFF_1_Freq,SUFF_1_Length,SUFF_1_PFMF,SUFF_2_FamSize,SUFF_2_Freq,SUFF_2_Length,SUFF_2_PFMF,n_morphemes
27214,insensibilité,0.28,<in<(sentir)>able>>ité>,"(1, 1, 2)",427,1478.96,2,73.7704918032786,28,914.42,6,67.8571428571428,313,1042.69,4,72.8434504792332,334,1491.88,3,74.5508982035928,4
27220,insignifiance,0.18,<in<(signe)>ifier>>nce>,"(1, 1, 2)",427,1478.96,2,78.9227166276346,11,306.679999999999,5,81.8181818181818,27,49.0699999999999,5,62.9629629629629,213,1491.29,3,84.5070422535211,4
27221,insignifiant,5.27,<in<(signe)>ifier>>ant/ent>,"(1, 1, 2)",427,1478.96,2,10.5386416861826,11,306.679999999999,5,54.5454545454545,27,49.0699999999999,5,11.1111111111111,522,3302.43999999999,7,17.4329501915708,4
27261,insonorité,0,<in<(son)>ore>>ité>,"(1, 1, 2)",427,1478.96,2,95.0819672131147,18,1894.35999999999,3,94.4444444444444,6,5.18999999999999,3,83.3333333333333,334,1491.88,3,94.6107784431137,4
27395,intemporalité,0,<in<(temps)>el>>ité>,"(1, 1, 2)",427,1478.96,2,95.0819672131147,11,1340.11,5,81.8181818181818,153,1103.39999999999,2,90.8496732026143,334,1491.88,3,94.6107784431137,4
27473,interminablement,0.05,<in<(terminer)>able>>ment>,"(1, 1, 2)",427,1478.96,2,86.8852459016393,4,150.149999999999,8,75,313,1042.69,4,85.6230031948881,919,5042.80999999999,4,84.7660500544069,4
27582,intoxication,1.38,<in<(tox)>ique>>ion>,"(1, 1, 2)",427,1478.96,2,37.2365339578454,4,9.86,3,75,281,852.449999999999,4,40.2135231316725,766,3498.54,3,51.1749347258485,4
27614,inutilisable,1.71999999999999,<in<(utile)>is[VB]>>able>,"(1, 1, 2)",427,1478.96,2,33.0210772833723,13,322.82,5,46.1538461538461,126,424.71,5,21.4285714285714,313,1042.69,4,34.185303514377,4
27622,invariablement,0.64,<in<(varier)>able>>ment>,"(1, 1, 2)",427,1478.96,2,55.0351288056206,7,10.53,6,57.1428571428571,313,1042.69,4,56.2300319488817,919,5042.80999999999,4,49.2927094668117,4
27665,invinciblement,0.01,<in<(vaincre)>able>>ment>,"(1, 1, 2)",427,1478.96,2,93.2084309133489,5,47.46,7,80,313,1042.69,4,91.3738019169329,919,5042.80999999999,4,90.0979325353645,4
